"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014609","2017-03-28","1.8","2.3",,,,"0.0","-3.2"
"USW00014609","2017-03-29","4.2","0.0",,,,"1.1","-1.0"
"USW00014609","2017-03-30","6.2","0.0",,,,"2.8","-4.3"
"USW00014609","2017-03-31","2.6","0.0",,,,"6.1","-10.5"
"USW00014609","2017-04-01","2.4","0.0",,,,"2.8","-2.7"
"USW00014609","2017-04-02","2.4","0.0",,,,"7.2","-2.7"
"USW00014609","2017-04-03","3.6","0.0",,,,"4.4","-5.5"
"USW00014609","2017-04-04","2.1","0.3",,,,"6.7","-8.2"
"USW00014609","2017-04-05","1.7","1.8",,,,"2.8","-1.0"
"USW00014609","2017-04-06","2.9","6.6",,,,"5.0","0.6"
"USW00014609","2017-04-07","3.7","8.4",,,,"10.0","3.3"
"USW00014609","2017-04-08","2.9","2.0",,,,"5.6","2.2"
"USW00014609","2017-04-09","2.6","0.0",,,,"11.1","1.7"
"USW00014609","2017-04-10","3.7","0.3",,,,"20.6","3.9"
"USW00014609","2017-04-11","3.0","3.3",,,,"15.6","5.0"
"USW00014609","2017-04-12","1.2","18.0",,,,"8.3","3.3"
"USW00014609","2017-04-13","3.4","0.0",,,,"7.8","-1.6"
"USW00014609","2017-04-14","2.9","0.0",,,,"12.2","-3.8"
"USW00014609","2017-04-15","3.6","0.0",,,,"18.3","-2.7"
"USW00014609","2017-04-16","3.3","18.3",,,,"16.7","5.6"
"USW00014609","2017-04-17","2.2","1.8",,,,"5.6","-0.5"
"USW00014609","2017-04-18","2.1","0.3",,,,"5.0","-1.6"
"USW00014609","2017-04-19","4.1","3.8",,,,"7.8","-0.5"
"USW00014609","2017-04-20","1.8","1.0",,,,"4.4","0.0"
"USW00014609","2017-04-21","3.2","5.8",,,,"6.1","0.6"
"USW00014609","2017-04-22","1.8","5.1",,,,"2.2","0.0"
"USW00014609","2017-04-23","2.7","0.0",,,,"11.7","0.6"
"USW00014609","2017-04-24","2.4","0.0",,,,"10.6","-3.2"
"USW00014609","2017-04-25","2.1","1.5",,,,"13.9","-4.3"
"USW00014609","2017-04-26","2.2","18.0",,,,"13.9","4.4"
"USW00014609","2017-04-27","2.7","1.0",,,,"18.9","8.3"
"USW00014609","2017-04-28","2.1","0.8",,,,"15.6","6.7"
"USW00014609","2017-04-29","4.4","0.0",,,,"20.6","2.8"
"USW00014609","2017-04-30","3.6","0.0",,,,"13.3","0.6"
"USW00014609","2017-05-01","3.0","13.0",,,,"7.2","3.3"
"USW00014609","2017-05-02","2.2","4.6",,,,"10.0","2.8"
"USW00014609","2017-05-03","4.4","0.0",,,,"13.9","5.6"
"USW00014609","2017-05-04","3.4","0.0",,,,"16.7","2.8"
"USW00014609","2017-05-05","3.1","8.1",,,,"13.3","7.2"
"USW00014609","2017-05-06","3.7","20.1",,,,"15.6","7.8"
"USW00014609","2017-05-07","4.6","3.6",,,,"19.4","9.4"
