"STATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014745","2017-03-12","7.4","0.0","0.0","180.0","-11.0","-4.9","-15.5"
"USW00014745","2017-03-13","3.8","0.0","0.0","150.0","-7.2","0.6","-12.7"
"USW00014745","2017-03-14","5.6","39.6","396.0","150.0","-4.6","-2.1","-5.5"
"USW00014745","2017-03-15","5.4","0.0","0.0","430.0","-4.6","-2.1","-8.8"
"USW00014745","2017-03-16","6.2","0.0","0.0","410.0","-5.2","-0.5","-7.7"
"USW00014745","2017-03-17","3.5","0.0","0.0","380.0","-2.8","3.3","-9.9"
"USW00014745","2017-03-18","1.7","0.0","0.0","360.0","-5.1","2.8","-15.5"
"USW00014745","2017-03-19","2.8","0.0","0.0","330.0","-0.2","5.0","-6.0"
"USW00014745","2017-03-20","2.2","0.0","0.0","300.0","0.0","10.6","-11.0"
"USW00014745","2017-03-21","1.3","0.0","0.0","250.0","3.8","11.7","-2.1"
"USW00014745","2017-03-22","8.9","0.0","0.0","230.0","-1.5","2.2","-9.3"
"USW00014745","2017-03-23","5.8","0.0","0.0","230.0","-5.5","1.7","-9.9"
"USW00014745","2017-03-24","1.6","4.3","15.0","230.0","-1.8","1.1","-4.3"
"USW00014745","2017-03-25","0.9","4.3","0.0","230.0","1.6","3.9","-4.9"
"USW00014745","2017-03-26","1.9","0.0","0.0","230.0","-1.2","3.9","-7.7"
"USW00014745","2017-03-27","1.9","21.3","0.0","200.0","1.5","3.9","0.0"
"USW00014745","2017-03-28","0.7","8.4","0.0","200.0","2.2","5.0","0.6"
"USW00014745","2017-03-29","4.7","0.8","0.0","200.0","3.9","7.8","1.1"
"USW00014745","2017-03-30","3.4","0.0","0.0","180.0","4.0","10.0","-0.5"
"USW00014745","2017-03-31","1.8","19.8","145.0","130.0","1.3","2.8","-0.5"
"USW00014745","2017-04-01","2.9","17.8","175.0","410.0","0.4","1.7","0.0"
"USW00014745","2017-04-02","3.1","0.0","0.0","360.0","3.8","10.6","-1.6"
"USW00014745","2017-04-03","1.6","0.0","0.0","250.0","4.9","15.0","-4.9"
"USW00014745","2017-04-04","2.7","20.6","0.0","200.0","4.4","5.0","0.6"
"USW00014745","2017-04-05","1.4","0.0","0.0","180.0","3.1","6.7","1.1"
"USW00014745","2017-04-06","2.6","21.8","0.0","150.0","3.2","4.4","2.2"
"USW00014745","2017-04-07","4.1","0.5","0.0","100.0","6.3","11.1","3.3"
"USW00014745","2017-04-08","6.2","0.0","0.0","100.0","4.4","8.3","2.2"
"USW00014745","2017-04-09","1.4","0.0","0.0","50.0","7.4","19.4","-3.2"
"USW00014745","2017-04-10","2.5","0.0","0.0","0.0","12.9","27.8","0.0"
"USW00014745","2017-04-11","2.0","0.0","0.0","0.0","19.6","30.6","6.1"
"USW00014745","2017-04-12","1.9","2.8","0.0","0.0","16.4","19.4","8.3"
"USW00014745","2017-04-13","4.4","0.0","0.0","0.0","9.4","13.9","0.0"
"USW00014745","2017-04-14","2.1","0.0","0.0","0.0","7.3","17.2","-2.7"
"USW00014745","2017-04-15","3.2","0.3","0.0","0.0","8.0","22.2","-3.2"
"USW00014745","2017-04-16","4.6","0.0","0.0","0.0","19.2","30.6","8.3"
"USW00014745","2017-04-17","5.3","0.0","0.0","0.0","19.4","21.7","6.1"
"USW00014745","2017-04-18","3.4","0.0","0.0","0.0","8.6","14.4","2.2"
"USW00014745","2017-04-19","3.7","3.8","0.0","0.0","6.4","12.8","2.2"
"USW00014745","2017-04-20","2.5","0.0","0.0","0.0","9.3","17.2","5.0"
"USW00014745","2017-04-21","2.3","16.3","0.0","0.0","6.9","7.8","4.4"
"USW00014745","2017-04-22","1.9","0.0","0.0","0.0","5.4","8.3","3.9"
"USW00014745","2017-04-23","2.1","0.0","0.0","0.0","10.1","21.1","0.0"
"USW00014745","2017-04-24","1.3","0.0","0.0","0.0","13.4","25.0","0.6"
"USW00014745","2017-04-25","2.5","14.0","0.0","0.0","9.2","10.0","6.1"
"USW00014745","2017-04-26","3.1","9.4","0.0","0.0","9.4","13.9","6.7"
"USW00014745","2017-04-27","1.7","0.3","0.0","0.0","14.5","20.0","11.7"
"USW00014745","2017-04-28","2.3","0.0","0.0","0.0","18.2","28.9","12.2"
"USW00014745","2017-04-29","3.8","0.0","0.0","0.0","19.4","27.2","11.1"
"USW00014745","2017-04-30","3.1","0.0","0.0","0.0","11.8","15.0","5.6"
"USW00014745","2017-05-01","2.7","10.9","0.0","0.0","8.0","9.4","5.6"
"USW00014745","2017-05-02","1.8","17.3","0.0","0.0","9.6","20.6","6.1"
"USW00014745","2017-05-03","4.5","0.0","0.0","0.0","11.6","15.6","3.9"
"USW00014745","2017-05-04","2.4","0.0","0.0","0.0","10.3","20.0","0.0"
"USW00014745","2017-05-05","3.3","21.3","0.0","0.0","9.4","10.0","7.8"
"USW00014745","2017-05-06","3.2","6.1","0.0","0.0","12.1","20.6","8.3"
"USW00014745","2017-05-07","4.3","3.3","0.0","0.0","14.4","19.4","8.9"
"USW00014745","2017-05-08","4.2","0.0","0.0","0.0","8.8","11.1","3.3"
"USW00014745","2017-05-09","1.5","0.0","0.0","0.0","6.2","11.7","-1.0"
"USW00014745","2017-05-10","2.3","0.0","0.0","0.0","9.4","15.6","1.7"
"USW00014745","2017-05-11","2.2","0.0","0.0","0.0","11.6","18.3","5.0"
"USW00014745","2017-05-12","1.0","0.3","0.0","0.0","10.0","16.7","2.8"
"USW00014745","2017-05-13","2.0","6.9","0.0","0.0","9.9","14.4","3.3"
"USW00014745","2017-05-14","4.2","22.6","0.0","0.0","7.3","10.0","4.4"
"USW00014745","2017-05-15","4.5","8.9","0.0","0.0","9.9","15.0","5.0"
"USW00014745","2017-05-16","3.7","0.0","0.0","0.0","15.8","26.1","5.0"
"USW00014745","2017-05-17","2.6","0.0","0.0","0.0","21.3","33.9","11.7"
"USW00014745","2017-05-18","3.1","0.8","0.0","0.0","25.8","35.0","13.9"
"USW00014745","2017-05-19","5.0","0.0","0.0","0.0","23.7","30.0","11.7"
"USW00014745","2017-05-20","2.4","0.0","0.0","0.0","15.3","22.8","6.1"
"USW00014745","2017-05-21","2.1","0.0","0.0","0.0","13.8","22.8","2.2"
"USW00014745","2017-05-22","1.3","12.4","0.0","0.0","11.2","11.7","8.9"
"USW00014745","2017-05-23","2.0","0.0","0.0","0.0","14.2","21.7","9.4"
"USW00014745","2017-05-24","1.5","0.0","0.0","0.0","15.9","22.8","10.0"
"USW00014745","2017-05-25","3.2","3.3","0.0","0.0","12.7","15.0","8.9"
"USW00014745","2017-05-26","3.0","30.2","0.0","0.0","11.8","16.7","9.4"
"USW00014745","2017-05-27","2.3","0.0","0.0","0.0","15.5","23.3","10.6"
"USW00014745","2017-05-28","1.9","0.0","0.0","0.0","15.3","23.3","7.2"
"USW00014745","2017-05-29","2.2","1.5","0.0","0.0","11.4","12.2","8.3"
"USW00014745","2017-05-30","2.3","0.8","0.0","0.0","10.9","16.7","8.3"
"USW00014745","2017-05-31","2.6","3.6","0.0","0.0","15.3","22.8","11.1"
"USW00014745","2017-06-01","3.2","0.0","0.0","0.0","16.5","24.4","10.0"
"USW00014745","2017-06-02","3.6","0.0","0.0","0.0","15.5","20.6","5.6"
"USW00014745","2017-06-03","3.7","0.0","0.0","0.0","12.8","19.4","5.0"
"USW00014745","2017-06-04","1.8","0.3","0.0","0.0","15.0","22.8","5.0"
"USW00014745","2017-06-05","3.0","10.7","0.0","0.0","13.3","13.9","10.0"
"USW00014745","2017-06-06","2.3","50.3","0.0","0.0","9.8","10.0","8.9"
"USW00014745","2017-06-07","1.8","4.8","0.0","0.0","15.0","25.6","8.9"
"USW00014745","2017-06-08","1.6","0.0","0.0","0.0","18.3","28.3","7.8"
"USW00014745","2017-06-09","1.8","0.3","0.0","0.0","17.5","24.4","10.6"
