Start Date,Start Time,End Date,End Time,County,State,Number of Customers Affected
2020-01-09,23:07:00,2020-01-09,23:19:00,Yell,Arkansas,0
2020-01-11,02:25:00,2020-01-11,07:56:00,Cross,Arkansas,7541
2020-01-11,23:02:00,2020-01-12,02:01:00,None,North Carolina,66475
2020-01-11,23:02:00,2020-01-12,02:01:00,None,South Carolina,66475
2020-01-11,03:30:00,2020-01-11,17:30:00,None,Arkansas,68138
2020-01-11,03:30:00,2020-01-11,17:30:00,None,Texas,68138
2020-01-11,12:50:00,2020-01-12,13:33:00,None,Alabama,30715
2020-01-11,12:50:00,2020-01-12,13:33:00,None,Georgia,30715
2020-01-11,12:50:00,2020-01-12,13:33:00,None,Mississippi,30715
2020-01-17,05:28:00,2020-01-17,10:13:00,Humboldt,California,67864
2020-02-06,14:29:00,2020-02-07,12:44:00,None,North Carolina,284256
2020-02-06,13:30:00,2020-02-07,20:08:00,None,North Carolina,89500
2020-02-06,13:30:00,2020-02-07,20:08:00,None,South Carolina,89500
2020-02-07,16:25:00,2020-02-08,12:00:00,None,Connecticut,123359
2020-02-07,16:25:00,2020-02-08,12:00:00,None,Maine,123359
2020-02-07,16:25:00,2020-02-08,12:00:00,None,Massachusetts,123359
2020-02-07,16:25:00,2020-02-08,12:00:00,None,New Hampshire,123359
2020-02-07,16:25:00,2020-02-08,12:00:00,None,Rhode Island,123359
2020-02-07,16:25:00,2020-02-08,12:00:00,None,Vermont,123359
2020-02-07,14:42:00,2020-02-10,09:25:00,None,New York,7500
2020-02-09,09:30:00,2020-02-09,21:40:00,Alameda,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Contra Costa,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,El Dorado,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Nevada,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Placer,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Sierra,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Santa Clara,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Napa,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Marin,California,145000
2020-02-09,09:30:00,2020-02-09,21:40:00,Santa Cruz,California,145000
2020-03-16,12:01:00,2020-03-16,13:10:00,None,California,110800
2020-03-24,02:55:00,2020-03-24,06:50:00,None,Connecticut,51026
2020-03-24,02:55:00,2020-03-24,06:50:00,None,Massachusetts,51026
2020-03-24,02:55:00,2020-03-24,06:50:00,None,Maine,51026
2020-03-24,02:55:00,2020-03-24,06:50:00,None,New Hampshire,51026
2020-03-24,02:55:00,2020-03-24,06:50:00,None,Rhode Island,51026
2020-03-24,02:55:00,2020-03-24,06:50:00,None,Vermont,51026
2020-03-31,11:45:00,2020-03-31,20:00:00,None,Alabama,57744
2020-03-31,11:45:00,2020-03-31,20:00:00,None,Georgia,57744
2020-04-05,15:46:00,2020-04-05,17:35:00,Stanislaus,California,6814
2020-04-08,21:57:00,2020-04-09,08:59:00,None,Ohio,78314
