Date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2017-01-01,3.32,0.0,0.0,30.0,-4.083333333333333,2.253333333333333,-8.673333333333334
2017-01-02,3.8666666666666667,2.5533333333333332,0.0,30.0,0.6666666666666666,2.3066666666666666,-0.9733333333333333
2017-01-03,8.413333333333334,0.29333333333333333,0.0,30.0,-1.5166666666666666,1.1333333333333333,-13.306666666666667
2017-01-04,6.692857142857143,0.25,1.1428571428571428,25.0,-12.933333333333332,-11.113333333333333,-15.906666666666666
2017-01-05,5.046666666666667,0.10666666666666667,0.0,25.0,-13.416666666666666,-11.973333333333333,-18.59333333333333
2017-01-06,3.2785714285714285,0.0,0.0,25.0,-16.400000000000002,-11.778571428571428,-20.32857142857143
2017-01-07,3.68,0.0,0.0,25.0,-12.233333333333334,-7.6,-17.133333333333333
2017-01-08,4.986666666666666,0.0,0.0,25.0,-12.9,-5.38,-18.793333333333333
2017-01-09,4.72,0.02,0.42857142857142855,25.0,-6.1499999999999995,0.2266666666666666,-10.18
2017-01-10,7.2,6.326666666666667,1.0,21.666666666666668,0.6666666666666666,4.866666666666666,-6.553333333333333
2017-01-11,5.986666666666666,0.15333333333333332,4.666666666666667,21.666666666666668,-3.5500000000000003,0.3666666666666668,-10.257142857142856
2017-01-12,5.213333333333334,0.17333333333333334,2.2857142857142856,26.666666666666668,-8.166666666666666,-5.306666666666667,-11.979999999999999
2017-01-13,4.006666666666667,0.08666666666666667,0.8333333333333334,26.666666666666668,-9.716666666666667,-6.566666666666666,-13.306666666666667
2017-01-14,1.6866666666666668,0.0,0.0,30.0,-5.6499999999999995,-0.25333333333333335,-9.426666666666668
2017-01-15,1.9666666666666666,0.47333333333333333,0.0,25.0,-4.166666666666667,0.44,-9.006666666666666
2017-01-16,3.6733333333333333,16.133333333333333,0.0,21.666666666666668,-0.21666666666666665,1.4933333333333332,-1.88
2017-01-17,4.526666666666667,0.03333333333333333,0.0,16.666666666666668,0.6499999999999999,1.6,-0.9199999999999999
2017-01-18,4.346666666666667,0.0,0.0,16.666666666666668,0.7833333333333333,5.373333333333333,-2.5266666666666664
2017-01-19,3.1533333333333333,3.1599999999999997,0.0,16.666666666666668,1.5166666666666666,3.9133333333333336,-1.04
2017-01-20,2.6133333333333337,0.5,0.0,13.333333333333334,3.1833333333333336,4.993333333333334,1.52
